date,total_tests,new_tests,total_cases,new_cases,total_deaths,new_deaths,total_recovered,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests_per_thousand,new_tests_per_thousand,,,,,,
9-May,116919,5465,13134,709,206,7,2414,79.75,4.305,1.251,0.043,0.71,0.033,,,,,,
10-May,122657,5738,13770,636,214,8,2650,83.612,3.862,1.299,0.049,0.745,0.035,,,,,,
11-May,129865,7208,14657,887,228,14,2902,88.998,5.386,1.384,0.085,0.789,0.044,,,,,,
12-May,136638,6773,15691,1034,239,11,3147,95.276,6.278,1.451,0.067,0.83,0.041,,,,,,
13-May,144538,7900,16660,969,250,11,3361,101.16,5.884,1.518,0.067,0.878,0.048,,,,,,
14-May,151930,7392,17822,1162,269,19,3603,108.216,7.056,1.633,0.115,0.923,0.045,,,,,,
15-May,160512,8582,18863,1041,283,14,3882,114.537,6.321,1.718,0.085,0.975,0.052,,,,,,
16-May,167294,6782,20065,1202,298,15,4117,121.835,7.299,1.809,0.091,1.016,0.041,,,,,,
17-May,175408,8114,20995,930,314,16,4373,127.482,5.647,1.907,0.097,1.065,0.049,,,,,,
18-May,185196,9788,22268,1273,328,14,4585,135.212,7.73,1.992,0.085,1.125,0.059,,,,,,
19-May,193645,8449,23870,1602,349,21,4993,144.94,9.727,2.119,0.128,1.176,0.051,,,,,,
20-May,203852,10207,25121,1251,370,21,5207,152.536,7.596,2.247,0.128,1.238,0.062,,,,,,
21-May,214114,10262,26738,1617,386,16,5602,162.354,9.818,2.344,0.097,1.3,0.062,,,,,,
22-May,223841,9727,28511,1773,408,22,6190,173.12,10.766,2.477,0.134,1.359,0.059,,,,,,
23-May,234675,10834,30205,1694,432,24,6486,183.406,10.286,2.623,0.146,1.425,0.066,,,,,,
24-May,243583,8908,32078,1873,452,20,6901,194.779,11.373,2.745,0.121,1.479,0.054,,,,,,
25-May,253034,9451,33610,1532,480,28,7334,204.081,9.302,2.915,0.17,1.536,0.057,,,,,,
26-May,258441,5407,35585,1975,501,21,7579,216.073,11.992,3.042,0.128,1.569,0.033,,,,,,
27-May,266456,8015,36751,1166,522,21,7925,223.153,7.08,3.17,0.128,1.618,0.049,,,,,,
28-May,275776,9320,38292,1541,544,22,8425,232.51,9.357,3.303,0.134,1.675,0.057,,,,,,
29-May,287067,11291,40321,2029,559,15,9015,244.831,12.32,3.394,0.091,1.743,0.069,,,,,,
30-May,297054,9987,42844,2523,582,23,9375,260.15,15.32,3.534,0.14,1.804,0.061,,,,,,
31-May,308930,11876,44608,1764,610,28,9781,270.861,10.711,3.704,0.17,1.876,0.072,,,,,,
1-Jun,320369,11439,47153,2545,650,40,10597,286.315,15.453,3.947,0.243,1.945,0.069,,,,,,
2-Jun,333073,12704,49534,2381,672,22,11120,300.772,14.458,4.08,0.134,2.022,0.077,,,,,,
3-Jun,345583,12510,52445,2911,709,37,11590,318.448,17.676,4.305,0.225,2.098,0.076,,,,,,
4-Jun,358277,12694,55140,2695,746,37,12161,334.812,16.364,4.53,0.225,2.175,0.077,,,,,,
5-Jun,372365,14088,57563,2423,781,35,12804,349.525,14.713,4.742,0.213,2.261,0.086,,,,,,
6-Jun,384851,12486,60391,2828,811,30,13325,366.696,17.172,4.924,0.182,2.337,0.076,,,,,,
